"location_id","address_1","address_2","city","state","zip","county","location_source_value","country_concept_id","country_source_value","latitude","longitude"
3506359,NULL,NULL,"3506359","35",NULL,NULL,"3506359",NULL,NULL,NULL,NULL
4219309,NULL,NULL,"4219309","42",NULL,NULL,"4219309",NULL,NULL,NULL,NULL
2300705,NULL,NULL,"2300705","23",NULL,NULL,"2300705",NULL,NULL,NULL,NULL
3516309,NULL,NULL,"3516309","35",NULL,NULL,"3516309",NULL,NULL,NULL,NULL
2903805,NULL,NULL,"2903805","29",NULL,NULL,"2903805",NULL,NULL,NULL,NULL
4108205,NULL,NULL,"4108205","41",NULL,NULL,"4108205",NULL,NULL,NULL,NULL
3521200,NULL,NULL,"3521200","35",NULL,NULL,"3521200",NULL,NULL,NULL,NULL
3532801,NULL,NULL,"3532801","35",NULL,NULL,"3532801",NULL,NULL,NULL,NULL
2501807,NULL,NULL,"2501807","25",NULL,NULL,"2501807",NULL,NULL,NULL,NULL
2911402,NULL,NULL,"2911402","29",NULL,NULL,"2911402",NULL,NULL,NULL,NULL
5211305,NULL,NULL,"5211305","52",NULL,NULL,"5211305",NULL,NULL,NULL,NULL
3523800,NULL,NULL,"3523800","35",NULL,NULL,"3523800",NULL,NULL,NULL,NULL
2108306,NULL,NULL,"2108306","21",NULL,NULL,"2108306",NULL,NULL,NULL,NULL
3114402,NULL,NULL,"3114402","31",NULL,NULL,"3114402",NULL,NULL,NULL,NULL
2414753,NULL,NULL,"2414753","24",NULL,NULL,"2414753",NULL,NULL,NULL,NULL
3125952,NULL,NULL,"3125952","31",NULL,NULL,"3125952",NULL,NULL,NULL,NULL
3506201,NULL,NULL,"3506201","35",NULL,NULL,"3506201",NULL,NULL,NULL,NULL
2907400,NULL,NULL,"2907400","29",NULL,NULL,"2907400",NULL,NULL,NULL,NULL
2800506,NULL,NULL,"2800506","28",NULL,NULL,"2800506",NULL,NULL,NULL,NULL
4210035,NULL,NULL,"4210035","42",NULL,NULL,"4210035",NULL,NULL,NULL,NULL
4101200,NULL,NULL,"4101200","41",NULL,NULL,"4101200",NULL,NULL,NULL,NULL
3532504,NULL,NULL,"3532504","35",NULL,NULL,"3532504",NULL,NULL,NULL,NULL
3119609,NULL,NULL,"3119609","31",NULL,NULL,"3119609",NULL,NULL,NULL,NULL
4201000,NULL,NULL,"4201000","42",NULL,NULL,"4201000",NULL,NULL,NULL,NULL
2912103,NULL,NULL,"2912103","29",NULL,NULL,"2912103",NULL,NULL,NULL,NULL
4300661,NULL,NULL,"4300661","43",NULL,NULL,"4300661",NULL,NULL,NULL,NULL
4323804,NULL,NULL,"4323804","43",NULL,NULL,"4323804",NULL,NULL,NULL,NULL
2500734,NULL,NULL,"2500734","25",NULL,NULL,"2500734",NULL,NULL,NULL,NULL
3129400,NULL,NULL,"3129400","31",NULL,NULL,"3129400",NULL,NULL,NULL,NULL
5218805,NULL,NULL,"5218805","52",NULL,NULL,"5218805",NULL,NULL,NULL,NULL
4310850,NULL,NULL,"4310850","43",NULL,NULL,"4310850",NULL,NULL,NULL,NULL
4124004,NULL,NULL,"4124004","41",NULL,NULL,"4124004",NULL,NULL,NULL,NULL
1501758,NULL,NULL,"1501758","15",NULL,NULL,"1501758",NULL,NULL,NULL,NULL
4125407,NULL,NULL,"4125407","41",NULL,NULL,"4125407",NULL,NULL,NULL,NULL
3531001,NULL,NULL,"3531001","35",NULL,NULL,"3531001",NULL,NULL,NULL,NULL
2600500,NULL,NULL,"2600500","26",NULL,NULL,"2600500",NULL,NULL,NULL,NULL
4104428,NULL,NULL,"4104428","41",NULL,NULL,"4104428",NULL,NULL,NULL,NULL
2901007,NULL,NULL,"2901007","29",NULL,NULL,"2901007",NULL,NULL,NULL,NULL
4207858,NULL,NULL,"4207858","42",NULL,NULL,"4207858",NULL,NULL,NULL,NULL
3556453,NULL,NULL,"3556453","35",NULL,NULL,"3556453",NULL,NULL,NULL,NULL
1101104,NULL,NULL,"1101104","11",NULL,NULL,"1101104",NULL,NULL,NULL,NULL
4313201,NULL,NULL,"4313201","43",NULL,NULL,"4313201",NULL,NULL,NULL,NULL
2203008,NULL,NULL,"2203008","22",NULL,NULL,"2203008",NULL,NULL,NULL,NULL
3114303,NULL,NULL,"3114303","31",NULL,NULL,"3114303",NULL,NULL,NULL,NULL
3121704,NULL,NULL,"3121704","31",NULL,NULL,"3121704",NULL,NULL,NULL,NULL
2110039,NULL,NULL,"2110039","21",NULL,NULL,"2110039",NULL,NULL,NULL,NULL
3130804,NULL,NULL,"3130804","31",NULL,NULL,"3130804",NULL,NULL,NULL,NULL
5006408,NULL,NULL,"5006408","50",NULL,NULL,"5006408",NULL,NULL,NULL,NULL
3556354,NULL,NULL,"3556354","35",NULL,NULL,"3556354",NULL,NULL,NULL,NULL
